event_id,lookback_K,is_control,direction_streak_len,hh_ratio,ll_ratio,atr_pct,bb_width_pct,bb_width_pctile,volume_ratio,volume_zscore,volume_divergence,rsi_level,rsi_slope,macd_hist_slope,hour_of_day_utc,day_of_week,chart_pattern_labels,chart_pattern_confidence,chart_notes
ETH-0042,240,False,0,0.47,0.43,0.4105,2.62,82.1,0.84,-0.15,0,72.9,29.3,0.5241,11,5,,0,
ETH-0043,240,False,0,0.48,0.46,0.3999,2.1,75.8,0.9,-0.13,0,67.6,20.0,-0.5005,9,2,,0,
ETH-0044,240,False,5,0.44,0.44,0.2561,0.53,0.0,0.6,-0.39,0,53.3,29.3,0.0419,19,5,,0,
ETH-0045,240,False,2,0.44,0.52,0.7313,2.63,100.0,1.22,0.16,0,26.8,-40.0,0.2296,4,1,,0,
ETH-0046,240,False,2,0.47,0.41,0.4794,1.62,63.2,0.46,-0.56,-1,68.7,13.3,-0.2075,5,3,,0,
ETH-0047,240,False,3,0.46,0.46,0.5482,2.29,41.1,0.31,-0.74,-1,44.2,0.9,0.5916,20,4,,0,
ETH-0048,240,False,0,0.42,0.49,0.7315,2.57,40.0,5.45,4.47,1,70.9,34.9,3.4954,2,6,,0,
ETH-0049,240,False,0,0.39,0.49,0.7979,4.54,76.8,1.24,0.24,1,27.3,-42.5,-0.9899,20,6,,0,
ETH-0050,240,False,1,0.42,0.46,0.4957,1.56,23.2,0.87,-0.13,0,34.7,-25.7,-0.4416,8,1,,0,
ETH-0051,240,False,3,0.49,0.46,0.7999,5.28,83.2,2.81,1.95,0,61.3,8.0,0.029,19,2,,0,
ETH-0052,240,False,2,0.41,0.5,0.618,2.56,80.0,2.95,1.53,1,36.7,-7.2,0.0103,13,6,,0,
ETH-0053,240,False,1,0.44,0.44,0.3874,2.34,61.1,0.33,-0.66,0,28.8,-11.8,0.2648,4,3,,0,
ETH-0054,240,False,0,0.47,0.4,0.6133,3.51,100.0,11.08,8.11,0,87.3,21.0,2.1985,13,4,,0,
ETH-0055,240,False,0,0.47,0.43,0.2133,0.46,0.0,0.19,-0.62,-1,47.9,-22.0,0.1379,17,5,,0,
ETH-0056,240,False,1,0.49,0.41,0.5215,1.58,82.1,0.46,-0.49,0,59.9,21.9,0.1985,8,1,,0,
ETH-0057,240,False,1,0.4,0.46,0.1913,0.57,0.0,0.45,-0.51,0,45.0,-11.2,-0.2703,15,5,,0,
ETH-0058,240,False,1,0.42,0.46,0.2917,1.43,71.6,2.43,0.97,1,18.1,-21.4,-0.5041,8,6,,0,
ETH-0059,240,False,0,0.45,0.46,0.389,1.11,0.0,0.44,-0.36,-1,54.6,18.5,0.1043,9,2,,0,
ETH-0060,240,False,1,0.41,0.44,0.4027,1.57,69.5,0.17,-0.64,-1,50.8,-3.0,-0.0321,0,1,,0,
ETH-0061,240,False,0,0.47,0.44,0.4554,2.66,81.1,2.35,1.3,0,86.8,39.9,0.7022,6,2,,0,
ETH-0062,240,False,1,0.46,0.45,0.1285,0.49,1.1,0.37,-0.67,-1,45.7,2.2,-0.0027,5,6,,0,
ETH-0063,240,False,0,0.46,0.44,0.5069,3.62,94.7,5.61,4.08,0,87.5,12.5,1.2897,19,5,,0,
ETH-0064,240,False,1,0.42,0.45,0.3276,1.52,69.5,0.4,-0.46,0,41.5,-17.7,0.2778,16,6,,0,
ETH-0065,240,False,3,0.41,0.45,0.2982,1.42,41.1,0.7,-0.25,0,32.9,-12.8,0.1151,10,3,,0,
ETH-0066,240,False,0,0.47,0.41,0.2765,1.6,22.1,1.14,0.15,0,79.0,1.1,-0.0899,9,2,,0,
ETH-0067,240,False,3,0.45,0.48,0.219,0.53,20.0,0.58,-0.49,-1,51.6,-13.1,0.3766,2,4,,0,
ETH-0068,240,False,2,0.41,0.47,0.2228,0.62,14.7,0.73,-0.27,1,62.3,14.9,0.1002,0,2,,0,
ETH-0069,240,False,1,0.44,0.46,0.5122,1.57,100.0,2.53,1.4,1,51.1,8.8,0.6121,17,0,,0,
ETH-0070,240,False,0,0.38,0.48,0.6783,2.57,18.9,0.5,-0.54,0,37.9,-13.4,-0.2756,3,5,,0,
ETH-0071,240,False,0,0.49,0.47,0.5324,2.32,66.3,0.34,-0.97,-1,59.8,-0.2,0.1577,23,0,,0,
ETH-0072,240,False,1,0.44,0.45,0.1489,0.68,0.0,0.58,-0.47,-1,48.9,-6.2,0.3409,6,6,,0,
ETH-0073,240,False,0,0.44,0.46,0.3939,2.3,66.3,0.38,-0.63,-1,34.2,-4.7,0.4149,10,2,,0,
ETH-0074,240,False,0,0.41,0.42,0.5614,3.09,100.0,1.11,0.1,-1,65.9,27.1,-0.3766,2,0,,0,
ETH-0075,240,False,1,0.41,0.47,0.3927,1.57,57.9,1.21,0.25,0,43.3,12.9,-0.8322,6,2,,0,
ETH-0076,240,False,0,0.43,0.44,0.3501,2.08,100.0,1.79,0.66,1,57.9,26.4,0.7613,7,0,,0,
ETH-0077,240,False,2,0.48,0.41,0.2406,0.58,1.1,0.39,-0.45,-1,34.9,-21.2,-0.0682,0,3,,0,
ETH-0078,240,False,2,0.47,0.45,0.1761,0.49,0.0,0.57,-0.43,-1,49.2,-8.6,-0.1814,7,6,,0,
CTRL-003936,240,True,0,0.44,0.47,0.619,2.86,86.3,0.94,-0.05,1,34.2,2.3,0.3971,5,3,,0,
CTRL-008864,240,True,1,0.47,0.38,0.1904,0.64,10.5,0.95,-0.03,0,38.5,-31.5,-0.8691,13,5,,0,
CTRL-009172,240,True,0,0.47,0.4,0.6161,1.83,68.4,1.57,0.62,1,58.8,-22.5,0.5859,18,1,,0,
CTRL-009480,240,True,1,0.44,0.43,0.1887,0.49,10.5,0.36,-0.4,1,53.0,-7.1,-0.1175,23,4,,0,
CTRL-011328,240,True,0,0.47,0.44,0.3723,1.82,90.5,0.35,-0.5,-1,38.5,-41.0,0.584,5,3,,0,
CTRL-011944,240,True,0,0.45,0.46,0.7575,3.43,100.0,4.92,3.75,1,66.4,44.7,0.1454,15,2,,0,
